1001#1 1+(11-1)^(1+1+1)
1022#2 √(2)^(22-2)-2
1022#3 (3!*((3!/3)^3)^3-3!)/3
1022#4 4*4^4-√4
1022#5 (5-5/5)^5-(5+5)/5
1022#6 6!+√(6)^6+6!/6/6+66
1022#7 7*7*(7+7+7)-7
1022#8 (√(8)^8-8)/√(8+8)
1022#9 ((√9)!*((√9)!/√9)^9-(√9)!)/√9
1023#1 (1+1)^(11-1)-1
1023#2 (√(2)^22-2)/2
1023#3 33*(33-3!/3)
1023#4 (√(√(4)^(4!))-4)/4
1023#5 (5-5/5)^5-5/5
1023#6 6!+(6*(6!+6)-6!)/(6+6)
1023#7 7/7+7*7*(7+7+7)-7
1023#8 √(√8+√8)^8-8/8
1023#9 (√9)!+(√9)!!+√9*99
1024#1 (1+1)^(11-1)
1024#2 √(2)^(22-2)
1024#3 √(√√(3!/3)^(3!!/3/3))
1024#4 4*4^4
1024#5 (5-5/5)^5
1024#6 √((6+6)/6)^(6!/6/6)
1024#7 (√√√7+√√√(7)^(-7))*(√√√7+√√√7)^7
1024#8 √(√8+√8)^8
1024#9 √(√√((√9)!/√9)^((√9)!!/9))
1025#1 1+(1+1)^(11-1)
1025#2 (2+√(2)^22)/2
1025#3 33*33-(3!/3)^(3!)
1025#4 (4+√(√(4)^(4!)))/4
1025#5 5/5+(5-5/5)^5
1025#6 6!+(6!+6!-6)/6+66
1025#7 7*(7*7-7)+(7!+77)/7
1025#8 8/8+√(√8+√8)^8
1025#9 (√9)!!/9+9*((√9)!+99)
1026#1 1+1+(1+1)^(11-1)
1026#2 2+√(2)^(22-2)
1026#3 3*3*(3!!/(3!)-3!)
1026#4 √4+4*4^4
1026#5 (5+5)/5+(5-5/5)^5
1026#6 6!+(6!+6!)/6+66
1026#7 (√7+√7+√7)*(√(7)^7-√7)/7
1026#8 (8+√(8)^8)/√(8+8)
1026#9 9*((√9)!!/((√9)!)-(√9)!)
1027#1 1+1+1+(1+1)^(11-1)
1027#2 2+(2+√(2)^22)/2
1027#3 3+√(√√(3!/3)^(3!!/3/3))
1027#4 4+(√(√(4)^(4!))-4)/4
1027#5 (5!+(5+(5+5)/5)!)/5-5
1027#6 6!+√(6+6/6)^6-6*6
1027#7 7777/7-77-7
1027#8 √(√8+√8)^8+√(8+8/8)
1027#9 √9+√(√√((√9)!/√9)^((√9)!!/9))
1028#1 1+1+1+1+(1+1)^(11-1)
1028#2 2+2+√(2)^(22-2)
1028#3 ((√3+√3*3!)^3-√3)/√3
1028#4 4+4*4^4
1028#5 5+(5-5/5)^5-5/5
1028#6 6!+(6!/6+√(6+6)^6)/6
1028#7 7*7*(7+7+7)-7/7
1028#8 √(8+8)+√(√8+√8)^8
1028#9 ((9+√9+9)^√9-9)/9
1029#1 (11+(1+1)^11-1)/(1+1)
1029#2 2+2+(2+√(2)^22)/2
1029#3 3*(3!+3/3)^3
1029#4 4+(4+√(√(4)^(4!)))/4
1029#5 5+(5-5/5)^5
1029#6 √(√6+√(√(6)^6))^6/(√6+√6)
1029#7 7*7*(7+7+7)
1029#8 8+√(√8+√8)^8-√(8+8/8)
1029#9 (9+√9+9)^√9/9
1030#1 (1+1+1)!+(1+1)^(11-1)
1030#2 2+2+2+√(2)^(22-2)
1030#3 (√3+(√3+√3*3!)^3)/√3
1030#4 (4!+√(√(4)^(4!)))/4
1030#5 (5!-5)*(5+5)-5!
1030#6 (6!+6!*6!)/(6!-√(6)^6)
1030#7 7/7+7*7*(7+7+7)
1030#8 8+(√(8)^8-8)/√(8+8)
1030#9 (√9)!+√(√√((√9)!/√9)^((√9)!!/9))
1031#1 1+(1+1+1)!+(1+1)^(11-1)
1031#2 (22+√(2)^22)/2-2-2
1031#3 3!!+(3!!+(3!)^3-3)/3
1031#4 (4+4!+√(√(4)^(4!)))/4
1031#5 (5!+(5+(5+5)/5)!-5)/5
1031#6 6!+(6^6-6)/(√(6)^6-66)
1031#7 7!/7+7!/(7+7)-7*7
1031#8 8+√(√8+√8)^8-8/8
1031#9 (9999-(√9)!!)/9
1032#1 11+(1+1)^(11-1)-1-1-1
1032#2 (2^(2+2)+√(2)^22)/2
1032#3 3!!+(3!!+(3!)^3)/3
1032#4 4*(√4+4^4)
1032#5 (5!+(5+(5+5)/5)!)/5
1032#6 (6+6)*(6!/6/6+66)
1032#7 (7!+(7+7)!/((77/7)!))/7
1032#8 8+√(√8+√8)^8
1032#9 (√9+9)*((√9)!+(√9)!!/9)
1033#1 11+(1+1)^(11-1)-1-1
1033#2 (22+√(2)^22)/2-2
1033#3 3!!+(3+3!!+(3!)^3)/3
1033#4 4/4+4*(√4+4^4)
1033#5 5*5+(5+(5+5)/5)!/5
1033#6 6!+6!-(66/6+6*66)
1033#7 (7777-7)/7-77
1033#8 8+8/8+√(√8+√8)^8
1033#9 9+√(√√((√9)!/√9)^((√9)!!/9))
1034#1 11+(1+1)^(11-1)-1
1034#2 (22+√(2)^22-2)/2
1034#3 3!!+(3!+3!!+(3!)^3)/3
1034#4 (4!-√4/4)*44
1034#5 5+5+(5-5/5)^5
1034#6 (6+6)*((6!+6)/6/6+66)
1034#7 7777/7-77
1034#8 8+(8+√(8)^8)/√(8+8)
1034#9 (√9)!!*(9-√9/9)/((√9)!)-(√9)!
1035#1 11+(1+1)^(11-1)
1035#2 (22+√(2)^22)/2
1035#3 3*(3!+3!+333)
1035#4 (√(√(4)^(4!))+44)/4
1035#5 5!*5+555-5!
1035#6 6+√(√6+√(√(6)^6))^6/(√6+√6)
1035#7 (7+7777)/7-77
1035#8 √(√8+√8)^8+88/8
1035#9 (√9)!*(√9)!+999
1036#1 1+11+(1+1)^(11-1)
1036#2 ((2+2)!+√(2)^22)/2
1036#3 (3+3/(3^3))*333
1036#4 4*(4+4^4)-4
1036#5 5!/(5+5)+(5-5/5)^5
1036#6 6*6+√((66-6)/6)^6
1036#7 7+7*7*(7+7+7)
1036#8 8+√(8+8)+√(√8+√8)^8
1036#9 (√9)!*(√9)!+(9+9/9)^√9
1037#1 1+1+11+(1+1)^(11-1)
1037#2 2+(22+√(2)^22)/2
1037#3 3!!+(3!!+3!!/3)/3-3
1037#4 4!+(√(√(4)^(4!))-44)/4
1037#5 5+(5!+(5+(5+5)/5)!)/5
1037#6 (√(6+6+6)^6-6)/6+66
1037#7 7+7/7+7*7*(7+7+7)
1037#8 (8+√(8)^8)/√(8+8)+88/8
1037#9 (9+((√9)!)^((√9)!))/((√9)!*9-9)
1038#1 1+1+1+11+(1+1)^(11-1)
1038#2 2+((2+2)!+√(2)^22)/2
1038#3 3*(3+(3!+3/3)^3)
1038#4 4*(4+4^4)-√4
1038#5 (5*5^5-55)/(5+5+5)
1038#6 6!+6!-6*66-6
1038#7 7+7!/7+7!/(7+7)-7*7
1038#8 (√(8)^8+88)/√(8+8)-8
1038#9 (√9)!!+9*(√9)!*(√9)!-(√9)!
1039#1 1111-(1+1+1)!*(1+11)
1039#2 2+2+(22+√(2)^22)/2
1039#3 3!!+(3!!+3!!/3-3)/3
1039#4 4*(4+4^4)-4/4
1039#5 5+5+5+(5-5/5)^5
1039#6 6666/6-66-6
1039#7 7!/(7+7)+7*7*(7+7)-7
1039#8 8+8+√(√8+√8)^8-8/8
1039#9 (√9)!!/(9+9)+999
1040#1 1111-√(1+(1+(1+1+1)!)!)
1040#2 2^(2+2)+√(2)^(22-2)
1040#3 3!!+(3!!+3!!/3)/3
1040#4 4*(4+4^4)
1040#5 (5!/5-5)*55-5
1040#6 6!*(6+6-6!/(√(6)^6))/6
1040#7 7*7*(7+7+7)+77/7
1040#8 8+8+√(√8+√8)^8
1040#9 (√9)!!*(9-√9/9)/((√9)!)
1041#1 (1+1+1)!+11+(1+1)^(11-1)
1041#2 2^(2+2)+(2+√(2)^22)/2
1041#3 3!!+333-3!-3!
1041#4 4/4+4*(4+4^4)
1041#5 5!+5!+(√5+(√5+√5)^5)/√5
1041#6 6!+6*((6!-6)/(6+6)-6)
1041#7 7+7777/7-77
1041#8 8+8+8/8+√(√8+√8)^8
1041#9 (√9)!!+(√9)!!/√9+9*9
1042#1 (1+1)^(11-1)+(1+1)*(11-1-1)
1042#2 22+√(2)^(22-2)-2-2
1042#3 3!!+(3!+3!!+3!!/3)/3
1042#4 √4+4*(4+4^4)
1042#5 (5+5*5^5)/(5+5+5)
1042#6 6!+(6+6)*√(6!+6/(√(6)^6))
1042#7 7!/7+7*7*7-7-7-7
1042#8 8+8+(8+√(8)^8)/√(8+8)
1042#9 (√9)!*(9+((√9)!/√9)^9)/√9
1043#1 1111-(1+1+1)!*11-1-1
1043#2 22+(√(2)^22-2)/2-2
1043#3 3!!+(3!!/3+3^(3!))/3
1043#4 4!+(√(√(4)^(4!))-4)/4-4
1043#5 5!/5+(5-5/5)^5-5
1043#6 6!+6!-(6/6+6*66)
1043#7 7*(77+7!/(77-7))
1043#8 8+√(√8+√8)^8+88/8
1043#9 (√9)!!+((√9)!!+√(9)^9/9)/9
1044#1 1111-(1+1+1)!*11-1
1044#2 22+√(2)^(22-2)-2
1044#3 3!!+3*3*3!*3!
1044#4 4+4*(4+4^4)
1044#5 5*5+(5-5/5)^5-5
1044#6 6!+6!-6*66
1044#7 (7^7-7!-7)/(7+777)
1044#8 (√(8)^8+88-8)/√(8+8)
1044#9 (√9)!!+9*(√9)!*(√9)!
1045#1 1111-(1+1+1)!*11
1045#2 22+(√(2)^22-2)/2
1045#3 3!!+333-(3!/3)^3
1045#4 (4!-√(√(4)^(-4)))*44
1045#5 (5!/5-5)*55
1045#6 6666/6-66
1045#7 7*7*7+(7!-77)/7-7
1045#8 (8+√(8+8)-√√(√(8)^(-8)))*88
1045#9 (√9*((√9)!+9)^√9-(√9)!!)/9
1046#1 11+11+(1+1)^(11-1)
1046#2 22+√(2)^(22-2)
1046#3 3!+3!!+(3!!+3!!/3)/3
1046#4 4!+4*4^4-√4
1046#5 (5+(5!-5*5)*55)/5
1046#6 (6+6666)/6-66
1046#7 7!/(7+7)+7*7*(7+7)
1046#8 (√(8)^8+88)/√(8+8)
1046#9 (√9)!+(√9)!!*(9-√9/9)/((√9)!)
1047#1 1111-√(1+1)^(1+11)
1047#2 22+(2+√(2)^22)/2
1047#3 3!!+333-3!
1047#4 4!+(√(√(4)^(4!))-4)/4
1047#5 (5!-5)/5+(5-5/5)^5
1047#6 6!+√(6)^6+666/6
1047#7 (7!+7!-7)/7-7*(7+7*7)
1047#8 8888/8-8*8
1047#9 √9+(√9)!!+9*(√9)!*(√9)!
1048#1 (1+1+1+1)!+(1+1)^(11-1)
1048#2 (2+2)!+√(2)^(22-2)
1048#3 3!!+333-3!/3-3
1048#4 4!+4*4^4
1048#5 5!/5+(5-5/5)^5
1048#6 6!+√(6)^6+(6+666)/6
1048#7 (7!+7!)/7-7*(7+7*7)
1048#8 (√(8+8))!+√(√8+√8)^8
1048#9 (9!+9!)/((√9)!!)+(√9)!!/(9+9)
1049#1 (11-1)*(111-(1+1+1)!)-1
1049#2 (2+2)!+(2+√(2)^22)/2
1049#3 3^(3!)+(3!!+3!!/3)/3
1049#4 4!+(4+√(√(4)^(4!)))/4
1049#5 5*5+(5-5/5)^5
1049#6 6!+√(6)^6+(6!-6)/6-6
1049#7 7!/7+7*7*7-7-7
1049#8 (√(8+8))!+8/8+√(√8+√8)^8
1049#9 9+(√9)!!*(9-√9/9)/((√9)!)
1050#1 (11-1)*(111-(1+1+1)!)
1050#2 2*((2+2)!*22-2)-2
1050#3 3!!+333-3
1050#4 4!*44-√4-4
1050#5 5+(5!/5-5)*55
1050#6 6!+6*66-66
1050#7 (7+7)*(77-(7+7)/7)
1050#8 8!/((√(8+8))!)-8!/8/8
1050#9 9*((√9)!!/((√9)!)-√9)-√9
