751#1 1111-(1+1+1)!!/(1+1)
775#9 (√9)!!+(√9)!*9+9/9
776#1 (1+(1+1+1)!)*111-1
776#2 2*(22-2)^2-(2+2)!
776#3 3!!+((3!/3)^3)!/(3!!)
776#4 √(4!+4)^4-4-4
776#5 (√5*(√5+√5)^5-5!)/5
776#6 6!+6*(6+6!/(√(6)^6))
776#7 777-7/7
776#8 8+8*(8+88)
776#9 (√9)!!+9!/((√9)!!)/9
777#1 (1+(1+1+1)!)*111
777#2 2*(2-2^(-2))*222
777#3 3+3!!+3*3!*3
777#4 (√4-√(√(4)^(-4)))*444
777#5 (5+√5*(√5+√5)^5-5!)/5
777#6 6!+(6!-6*6)/(6+6)
777#7 777
777#8 888-888/8
777#9 √9+(√9)!!+(√9)!*9
778#1 1+(1+(1+1+1)!)*111
778#2 2*(22-2)^2-22
778#3 3!!+(3!/3)^(3!)-3!
778#4 √(4!+4)^4-√4-4
778#5 5+5+(√√(5!)+√√(5!))^5/√√(5!)/5
778#6 6!+((6+6)/6)^6-6
778#7 7/7+777
778#8 (8+8)*88-8!/8/8
778#9 (√9)!!+(√9)!*(9+(√9)!/9)
779#1 1+1+(1+(1+1+1)!)*111
779#2 2+2*(2-2^(-2))*222
779#3 3+3!!+((3!/3)^3)!/(3!!)
779#4 √(4!+4)^4-4/4-4
779#5 5+5+5!+(5!+5^5)/5
779#6 6!+66-6/6-6
779#7 (7+7)/7+777
779#8 88/8+8*(8+88)
779#9 √9+(√9)!!+9!/((√9)!!)/9
780#1 (1+1+1)!!*(1+1/(1+11))
780#2 (2+2+(2+2)!)^2-2-2
780#3 3!!+3!!/(3!+3!)
780#4 √(4!+4)^4-4
780#5 (5^5-5)/(5-5/5)
780#6 6!+66-6
780#7 7*7+(7!+77)/7
780#8 (8+√√(√(8)^(-8)))*(8+88)
780#9 (√9)!+(√9)!!+(√9)!*9
781#1 √(1+(1+(1+1+1)!)!)*11
781#2 (√(2)^22-22^2-2)/2
781#3 3!!+(3!/3)^(3!)-3
781#4 4/4+√(4!+4)^4-4
781#5 (5*5^5-5)/(5*5-5)
781#6 6!+6/6+66-6
781#7 √(7!+7/7)*77/7
781#8 88/√(8/(8!+8))/8
781#9 (√9)!!+((√9)!/√9)^((√9)!)-√9
782#1 1+√(1+(1+(1+1+1)!)!)*11
782#2 (2+2+(2+2)!)^2-2
782#3 3!!+3*(3!!/(3^3)-3!)
782#4 √(4!+4)^4-√4
782#5 (5!-5)*(5+5+5!/5)/5
782#6 6!+(6+6)/6+66-6
782#7 7+777-(7+7)/7
782#8 8*8+8!/8/8+88
782#9 (√9)!!+(√9)!!/9-9-9
783#1 (1+(1+1+1)!)*(1+111)-1
783#2 (2+2+(2+2)!)^2-2/2
783#3 3^(3!)+3*3!*3
783#4 √(4!+4)^4-4/4
783#5 (5+5!/5)*(((5+5)/5)^5-5)
783#6 6!+(6!+6*6)/(6+6)
783#7 7+777-7/7
783#8 (8+8/8)*(88-8/8)
783#9 9*((√9)!+9*9)
784#1 (1+(1+1+1)!)*(1+111)
784#2 (2+2+(2+2)!)^2
784#3 3!!+(3!/3)^(3!)
784#4 √(4!+4)^4
784#5 (5-5/5)^5-5!-5!
784#6 6!+((6+6)/6)^6
784#7 7+777
784#8 8*8+(8-√√(8+8))!
784#9 (√9)!!+((√9)!/√9)^((√9)!)
785#1 1+(1+(1+1+1)!)*(1+111)
785#2 2/2+(2+2+(2+2)!)^2
785#3 3!!+(3!*33-3)/3
785#4 4/4+√(4!+4)^4
785#5 5!+(5+5/5)!-55
785#6 6!+66-6/6
785#7 7+7/7+777
785#8 √(√(8+8/8)^8)+8*88
785#9 9^√9+9!/((√9)!!)/9
786#1 (1+1+1)!!+(1+1+1)!*11
786#2 2+(2+2+(2+2)!)^2
786#3 3!!+√(3!*(3!!+3!))
786#4 √4+√(4!+4)^4
786#5 (5+5/5)*(5!+55/5)
786#6 6!+66
786#7 77+(7!-77)/7
786#8 (8+√(√(8*8-8)^8))/√(8+8)
786#9 (√9)!!+√((√9)!*((√9)!!+(√9)!))
787#1 1+(1+1+1)!!+(1+1+1)!*11
787#2 (2+(2+2)!)^2+222/2
787#3 3+3!!+(3!/3)^(3!)
787#4 4+√(4!+4)^4-4/4
787#5 5!+(5!-5)*(5+5!/5)/5
787#6 6!+6/6+66
787#7 (77-7)/7+777
787#8 8+88/8+8*(8+88)
787#9 (√9)!!+√(9+9!/9/9)
788#1 11+(1+(1+1+1)!)*111
788#2 2+2+(2+2+(2+2)!)^2
788#3 3!!+((3!)^3-3)/3-3
788#4 4+√(4!+4)^4
788#5 5!+(5!+5!+5^5)/5-5
788#6 6!+(6+6)/6+66
788#7 77/7+777
788#8 88+8*88-√(8+8)
788#9 (√9)!!+(√9)!!/9-√9-9
789#1 1+11+(1+(1+1+1)!)*111
789#2 ((2*(22-2))^2-22)/2
789#3 3!!+(3!)^3/3-3
789#4 4+4/4+√(4!+4)^4
789#5 5+(5-5/5)^5-5!-5!
789#6 6!+6*(6+66/(6+6))
789#7 (7!-7)/7+77-7
789#8 (√(√(88-8)^8)-88)/8
789#9 (√9)!!+9*9-√9-9
790#1 (1+1+1)!!/(1-1/11)-1-1
790#2 (2+2+2)^2*22-2
790#3 3!!+((3!)^3-3!)/3
790#4 4+√4+√(4!+4)^4
790#5 (5+5)*(5!/5+55)
790#6 6+6!+((6+6)/6)^6
790#7 7!/7+77-7
790#8 88+8*88-√√(8+8)
790#9 (√9)!!+((√9)!!-9)/9-9
791#1 (1+1+1)!!/(1-1/11)-1
791#2 (2+2+2)^2*22-2/2
791#3 3!!+((3!)^3-3)/3
791#4 √(4!+4)^4+(4!+4)/4
791#5 (√5+(√5+√5)^5)/√5-5-5
791#6 (6+6)*66-6/6
791#7 7+7+777
791#8 √((8!+8)/8)+(8-√√(8+8))!
791#9 (√9)!!+(√9)!!/9-9
792#1 (1+1+1)!!/(1-1/11)
792#2 (2+2+2)^2*22
792#3 3!!+(3!)^3/3
792#4 (√4+4*4)*44
792#5 (5!+(√√(5!)+√√(5!))^5/√√(5!))/5
792#6 (6+6)*66
792#7 7!/(7-7*7/77)
792#8 88+8*88
792#9 (√9)!!+9*9-9
793#1 1+(1+1+1)!!/(1-1/11)
793#2 2/2+(2+2+2)^2*22
793#3 3!!+(3+(3!)^3)/3
793#4 √√(√(4)^(4!))+√(√(4-4/4)^(4!))
793#5 5!+(5!+5!+5^5)/5
793#6 6/6+(6+6)*66
793#7 7+77+(7!-77)/7
793#8 8/8+88+8*88
793#9 9^√9+((√9)!/√9)^((√9)!)
794#1 1+1+(1+1+1)!!/(1-1/11)
794#2 2*((22-2)^2-2)-2
794#3 3!!+(3!+(3!)^3)/3
794#4 √4+(√4+4*4)*44
794#5 ((√5+√5)^5-√5)/√5-5
794#6 (6+6)*(6/(6*6)+66)
794#7 (7!-7-7-7)/7+77
794#8 √√(8+8)+88+8*88
794#9 (√9)!!+(√9)!!/9-(√9)!
795#1 11+(1+(1+1+1)!)*(1+111)
795#2 2*((22-2)^2-2)-2/2
795#3 3+3!!+(3!)^3/3
795#4 √(4!+4)^4+44/4
795#5 5!+5!+555
795#6 ((6+6+6)/6)^6+66
795#7 (7!-7-7)/7+77
795#8 (8+(8+8/8)/8)*88-8
795#9 (√9)!!+9*9-(√9)!
796#1 (1+1+1)!!+(1+(1+1+1)!)*11-1
796#2 2*((22-2)^2-2)
796#3 3+3!!+(3+(3!)^3)/3
796#4 √(4*(4!-4)^4)-4
796#5 (√5+(√5+√5)^5)/√5-5
796#6 6!+66+(66-6)/6
796#7 (7!-7)/7+77
796#8 888-88-√(8+8)
796#9 (√9)!!+((√9)!!-9)/9-√9
797#1 (1+1+1)!!+(1+(1+1+1)!)*11
797#2 ((2*(22-2))^2-2)/2-2
797#3 3!!+3!!/3/3-3
797#4 (√4+4!)/√4+√(4!+4)^4
797#5 √(5!+(5!+(5+5)!)/5)-55
797#6 6!+66+66/6
797#7 7!/7+77
797#8 (√(√(88-8)^8)-(√(8+8))!)/8
797#9 (√9)!!+(√9)!!/9-√9
798#1 (1+1+1)!*(1+11*(1+11))
798#2 2*(22-2)^2-2
798#3 3!!+3*3^3-3
798#4 √(4*(4!-4)^4)-√4
798#5 ((√5+√5)^5-√5-√5)/√5
798#6 6+(6+6)*66
798#7 (7!+7)/7+77
798#8 888-88-√√(8+8)
798#9 (√9)!!+9*9-√9
799#1 (1+1+1)!!/(1-1/(11-1))-1
799#2 ((2*(22-2))^2-2)/2
799#3 3!!+(3!!/3-3)/3
799#4 (√(44-4)^4-√4)/√4
799#5 ((√5+√5)^5-√5)/√5
799#6 6+6/6+(6+6)*66
799#7 (7+7!+7)/7+77
799#8 (√(√(88-8)^8)-8)/8
799#9 (√9)!!+((√9)!!-9)/9
800#1 (1+1+1)!!/(1-1/(11-1))
800#2 2*(22-2)^2
800#3 3!!+3!!/3/3
800#4 √(4*(4!-4)^4)
800#5 (√5+√5)^5/√5
800#6 6!*6!/(6!-66-6)
800#7 7!/(7-7*7/(77-7))
800#8 888-88
800#9 (√9)!!+(√9)!!/9
