651#1 11+(11-1)*√(1+1)^(1+11)
681#1 11*(√(1+1)^(1+11)-1-1)-1
681#2 2+2+2/2+(2+(2+2)!)^2
681#3 3!!-33-3!
681#4 4+4/4+√(√4+4!)^4
681#5 (5+5^5)/5+55
681#6 6!-6*(6+6/(6+6))
681#7 (7!+77-7)/7-7*7
681#8 8/8+8*88-(√(8+8))!
681#9 (√9)!!-(√9)!*(√9)!-√9
682#1 11*(√(1+1)^(1+11)-1-1)
682#2 (√(2)^22-2)/(2+2/2)
682#3 3!!-(3!*3!+3!/3)
682#4 4/(4!/(√(√(4)^(4!))-4))
682#5 (5+5+5^5)/5+55
682#6 6!-(6+6+√(6)^6)/6
682#7 (7!+77)/7-7*7
682#8 (8-√√(8+8)/8)*88
682#9 (√9)!!-(√9)!*((√9)!+√9/9)
683#1 (1+(1+1)^11)/(1+1+1)
683#2 (2+√(2)^((2+2)!))/(2+2+2)
683#3 3!!-(3!*3!+3/3)
683#4 4/(4!/(√4+√(√(4)^(4!))))
683#5 5+5+(5!+5!+5^5)/5
683#6 6!-(6+√(6)^6)/6
683#7 (7+7!+77)/7-7*7
683#8 (8+(√√8+√√8)^8)/((√(8+8))!)
683#9 (√9)!!/9+√(9!+9^√9)
684#1 (1+1+1)!!-((1+1+1)!)^(1+1)
684#2 (2+2+2)!-(2+2+2)^2
684#3 3!!-3!*3!
684#4 4+4+√(√4+4!)^4
684#5 5+(5^5-5)/5+55
684#6 6!-6*6
684#7 (√7+√7)*(√(7)^7-√7)/7
684#8 (8+√(8)^8)/(8-√√(8+8))
684#9 (√9)!!-(√9)!*(√9)!
685#1 (1+1+1)!!-((1+1+1+1)!+11)
685#2 ((2+2)!)^2+222/2-2
685#3 3!!-(3!/3+33)
685#4 √(√(4-4/4)^(4!))-44
685#5 5+5^5/5+55
685#6 6!-(√(6)^6-6)/6
685#7 7*7*(7+7)-7/7
685#8 (8-√√(√(8)^(-8)))*88-8
685#9 (√9)!!-((√9)!+99)/√9
686#1 (1+1)*(1+(1+1+1)!)^(1+1+1)
686#2 2*√(√(2*√(2-2^(-2)))^((2+2)!))
686#3 3!!-(3/3+33)
686#4 (4!+4)*(4!+√4/4)
686#5 5!+55/5+555
686#6 6!/6/6+666
686#7 7*7*(7+7)
686#8 (8!+√(8)^8)/8/8-8
686#9 (√9)!!-(√9+99)/√9
687#1 (1+1+1)!!-(1+1+1)*11
687#2 ((2+2)!)^2+222/2
687#3 3!!-33
687#4 √(4!)^4+444/4
687#5 ((5!+5)*55-5)/(5+5)
687#6 6!-6/((6+6)/66)
687#7 7/7+7*7*(7+7)
687#8 8*88-8/8-8-8
687#9 (√9)!!-99/√9
688#1 (1+1+1)!!-√(1+1)^(11-1)
688#2 (2+2+2)!-2*2^(2+2)
688#3 3!!-(33-3/3)
688#4 4*(4*44-4)
688#5 (5+(5!+5)*55)/(5+5)
688#6 6!-6!/6/6-6-6
688#7 (√7+√7)*(√7+√(7)^7)/7
688#8 8*88-8-8
688#9 (√9)!!-(99-√9)/√9
689#1 1+(1+1+1)!!-√(1+1)^(11-1)
689#2 2+((2+2)!)^2+222/2
689#3 3!!-(33-3!/3)
689#4 √√(√(4)^(4!))+(4+4/4)^4
689#5 5!+(5^5-5)/5-55
689#6 6+6!-(6+√(6)^6)/6
689#7 7+(7!+77)/7-7*7
689#8 8/8+8*88-8-8
689#9 9^√9-(√9)!!/(9+9)
690#1 (1+1+1)!!-(1+1+1)*(11-1)
690#2 (22+√(2)^22)/(2+2/2)
690#3 3+3!!-33
690#4 (4!/4)!-√4-4!-4
690#5 (5!-5)*(5+5/5)
690#6 6+6!-6*6
690#7 (7!-7!/((77/7-7)!))/7
690#8 √√(8+8)+8*88-8-8
690#9 (√9)!!-√9*9-√9
691#1 11*(√(1+1)^(1+11)-1)-1-1
691#2 2+2+((2+2)!)^2+222/2
691#3 3!!-(3!/3+3^3)
691#4 (√(√√(4!)^(4!))-4)/(4!-4)
691#5 5!*(5+5!/5)/5-5
691#6 6!-√(6!+(6!+6)/6)
691#7 (7!-(77+77))/7-7
691#8 ((8!+√(8)^8)/8-(√(8+8))!)/8
691#9 (√9)!!-√9*(9+(√9)!/9)
692#1 11*(√(1+1)^(1+11)-1)-1
692#2 2^(2+2)+(2+(2+2)!)^2
692#3 3!!-(3^3+3/3)
692#4 (4!/4)!-4!-4
692#5 (5+5!*(5+5!/5))/5-5
692#6 6!-√(6!+((6+6)/6)^6)
692#7 7*7+7!/7-77
692#8 8*88-√(8+8)-8
692#9 (√9)!!-(√9*9+9/9)
693#1 11*(√(1+1)^(1+11)-1)
693#2 (2-√(2)^(-2))*(22^2-22)
693#3 3!!-3^3
693#4 4*(4-√(4)^(-4))*44
693#5 5!+5*(5!-5)-(5+5)/5
693#6 6!-(6/√(6+6))^6
693#7 7+7*7*(7+7)
693#8 (8-√√(√(8)^(-8)))*88
693#9 (√9)!!-√9*9
694#1 1+11*(√(1+1)^(1+11)-1)
694#2 (2+2+2)!-(2+2)!-2
694#3 3!!-(3^3-3/3)
694#4 (4!/4)!-√4-4!
694#5 5!+5*(5!-5)-5/5
694#6 6!-6!/6/6-6
694#7 7+7/7+7*7*(7+7)
694#8 (8!+√(8)^8)/8/8
694#9 (√9)!!-(√9*9-9/9)
695#1 (1+1+1)!!-(1+1+1+1)!-1
695#2 (2+2+2)!-2/2-(2+2)!
695#3 3!!-(3^3-3!/3)
695#4 (4!/4)!-4/4-4!
695#5 5!+5*(5!-5)
695#6 6!-(√(6)^6-66)/6
695#7 (7!-77)/7-7-7
695#8 8*88-8/8-8
695#9 (√9)!!-(9+((√9)!)^√9)/9
696#1 (1+1+1)!!-(1+1+1+1)!
696#2 (2+2+2)!-(2+2)!
696#3 3^(3!)-33
696#4 (4!/4)!-4!
696#5 5!*(5+5!/5)/5
696#6 (6^6-6!)/66
696#7 7!/7-(77/7-7)!
696#8 8*88-8
696#9 (√9)!!-(√9)!-9-9
697#1 (1+1+1)!!-(11+11)-1
697#2 (2+2+2)!-22-2/2
697#3 3!!-3!!/(3!)/(3!)-3
697#4 (4!/4)!+4/4-4!
697#5 (5+5!*(5+5!/5))/5
697#6 6!-66/6-6-6
697#7 7*7*(7+7)+77/7
697#8 8/8+8*88-8
697#9 (√9)!!-(((√9)!)^√9-9)/9
698#1 (1+1+1)!!-(11+11)
698#2 (2+2+2)!-22
698#3 3!!-(3!!+3!)/33
698#4 √4+(4!/4)!-4!
698#5 5!+(5!-5)/5+555
698#6 6!-(66+66)/6
698#7 (7!-(77+77))/7
698#8 √√(8+8)+8*88-8
698#9 (√9)!!-(√9)!*(√9+(√9)!/9)
699#1 1+(1+1+1)!!-(11+11)
699#2 2/2+(2+2+2)!-22
699#3 3!!-3!*3-3
699#4 √(((4!+4)!+4!!)/4!!)-√4
699#5 5!+5!/5+555
699#6 6!-(6+6!/6)/6
699#7 7!/7-7-7-7
699#8 √(8+8/8)+8*88-8
699#9 (√9)!!-√9-9-9
700#1 (1+1+1)!!-(1+1)*(11-1)
700#2 2+(2+2+2)!-22
700#3 3!!-3!!/(3!)/(3!)
700#4 4+(4!/4)!-4!
700#5 5*(5!+5*5-5)
700#6 6!-6!/6/6
700#7 777-77
700#8 8*88-√(8+8)
700#9 (√9)!!-(√9)!!/((√9)!)/((√9)!)
