1#1 $$1=1$$
50#1 $$50=\frac{\textstyle111-11}{\textstyle1+1}$$
51#1 $$51=1+\frac{\textstyle111-11}{\textstyle1+1}$$
52#1 $$52={\sqrt{1+1}}^{1+11}-11-1$$
53#1 $$53={\sqrt{1+1}}^{1+11}-11$$
54#1 $$54=\frac{\textstyle111-1}{\textstyle1+1}-1$$
55#1 $$55=\frac{\textstyle111-1}{\textstyle1+1}$$
56#1 $$56=\frac{\textstyle1+111}{\textstyle1+1}$$
57#1 $$57=1+\frac{\textstyle1+111}{\textstyle1+1}$$
58#1 $$58=1+1+\frac{\textstyle1+111}{\textstyle1+1}$$
59#1 $$59=\left(1+1+1\right)!\times\left(11-1\right)-1$$
60#1 $$60=\left(1+1+1\right)!\times\left(11-1\right)$$
61#1 $$61=\frac{\textstyle11+111}{\textstyle1+1}$$
62#1 $$62={\sqrt{1+1}}^{1+11}-1-1$$
63#1 $$63={\sqrt{1+1}}^{1+11}-1$$
64#1 $$64={\sqrt{1+1}}^{1+11}$$
65#1 $$65=1+{\sqrt{1+1}}^{1+11}$$
66#1 $$66=\left(1+1+1\right)!\times11$$
67#1 $$67=1+\left(1+1+1\right)!\times11$$
68#1 $$68=1+1+\left(1+1+1\right)!\times11$$
69#1 $$69=\sqrt{1+\left(1+\left(1+1+1\right)!\right)!}-1-1$$
70#1 $$70=\sqrt{1+\left(1+\left(1+1+1\right)!\right)!}-1$$
71#1 $$71=\sqrt{1+\left(1+\left(1+1+1\right)!\right)!}$$
72#1 $$72=\left(1+1+1\right)!\times\left(1+11\right)$$
73#1 $$73=1+\left(1+1+1\right)!\times\left(1+11\right)$$
74#1 $$74=\frac{\textstyle111}{\textstyle1+\frac{\textstyle1}{\textstyle1+1}}$$
75#1 $$75=11+{\sqrt{1+1}}^{1+11}$$
76#1 $$76=\left(1+\left(1+1+1\right)!\right)\times11-1$$
77#1 $$77=\left(1+\left(1+1+1\right)!\right)\times11$$
78#1 $$78=1+\left(1+\left(1+1+1\right)!\right)\times11$$
79#1 $$79=111-{\sqrt{1+1}}^{11-1}$$
80#1 $$80={\left(11-1-1\right)}^{1+1}-1$$
81#1 $$81={\left(11-1-1\right)}^{1+1}$$
82#1 $$82=1+{\left(11-1-1\right)}^{1+1}$$
83#1 $$83=1+1+{\left(11-1-1\right)}^{1+1}$$
84#1 $$84=\left(1+\left(1+1+1\right)!\right)\times\left(1+11\right)$$
85#1 $$85=1+\left(1+\left(1+1+1\right)!\right)\times\left(1+11\right)$$
86#1 $$86=111-\left(1+1+1+1\right)!-1$$
87#1 $$87=111-\left(1+1+1+1\right)!$$
88#1 $$88=11\times\left(11-1-1-1\right)$$
89#1 $$89=\sqrt{1+\left(1+1+1\right)!!\times11}$$
90#1 $$90=\left(11-1\right)\times\left(11-1-1\right)$$
91#1 $$91=111-\left(1+1\right)\times\left(11-1\right)$$
92#1 $$92=11+{\left(11-1-1\right)}^{1+1}$$
93#1 $$93=\frac{\textstyle{\left(1+1\right)}^{11-1}-1}{\textstyle11}$$
94#1 $$94=111-11-\left(1+1+1\right)!$$
95#1 $$95=\frac{\textstyle1111}{\textstyle11}-\left(1+1+1\right)!$$
96#1 $$96=\left(1+11\right)\times\left(11-1-1-1\right)$$
97#1 $$97=111-11-1-1-1$$
98#1 $$98=111-11-1-1$$
99#1 $$99=111-11-1$$
100#1 $$100=111-11$$
101#1 $$101=\frac{\textstyle1111}{\textstyle11}$$
102#1 $$102=1+\frac{\textstyle1111}{\textstyle11}$$
103#1 $$103=1+1+\frac{\textstyle1111}{\textstyle11}$$
104#1 $$104=111-\left(1+1+1\right)!-1$$
105#1 $$105=111-\left(1+1+1\right)!$$
106#1 $$106=1+111-\left(1+1+1\right)!$$
107#1 $$107=111-1-1-1-1$$
108#1 $$108=111-1-1-1$$
109#1 $$109=111-1-1$$
110#1 $$110=111-1$$
111#1 $$111=111$$
112#1 $$112=1+111$$
113#1 $$113=1+1+111$$
114#1 $$114=1+1+1+111$$
115#1 $$115=1+1+1+1+111$$
116#1 $$116=\left(1+1+1\right)!+111-1$$
117#1 $$117=\left(1+1+1\right)!+111$$
118#1 $$118=\left(\left(1+1+1\right)!-1\right)!-1-1$$
119#1 $$119=\left(\left(1+1+1\right)!-1\right)!-1$$
120#1 $$120=\left(\left(1+1+1\right)!-1\right)!$$
121#1 $$121=11\times11$$
122#1 $$122=11+111$$
123#1 $$123=1+11+111$$
124#1 $$124=1+1+11+111$$
125#1 $$125={\left(\left(1+1+1\right)!-1\right)}^{1+1+1}$$
126#1 $$126=\left(1+1+1\right)!+\left(\left(1+1+1\right)!-1\right)!$$
127#1 $$127=\left(1+1+1\right)!+11\times11$$
128#1 $$128={\left(1+1\right)}^{1+\left(1+1+1\right)!}$$
129#1 $$129=1+{\left(1+1\right)}^{1+\left(1+1+1\right)!}$$
130#1 $$130=11\times\left(1+11\right)-1-1$$
131#1 $$131=11\times\left(1+11\right)-1$$
132#1 $$132=11\times\left(1+11\right)$$
133#1 $$133=1+11\times\left(1+11\right)$$
134#1 $$134=1+1+11\times\left(1+11\right)$$
135#1 $$135=\left(1+1+1+1\right)!+111$$
136#1 $$136=1+\left(1+1+1+1\right)!+111$$
137#1 $$137=\left(1+1\right)\times\left(1+1+11\right)+111$$
138#1 $$138=\left(1+11\right)\times\left(\frac{\textstyle1}{\textstyle1+1}+11\right)$$
139#1 $$139={\left(1+1\right)}^{1+\left(1+1+1\right)!}+11$$
140#1 $$140=\left(11-1\right)\times\left(1+1+1+11\right)$$
141#1 $$141=11\times\left(1+1+11\right)-1-1$$
142#1 $$142=11\times\left(1+1+11\right)-1$$
143#1 $$143=11\times\left(1+1+11\right)$$
144#1 $$144={\left(1+11\right)}^{1+1}$$
145#1 $$145=1+{\left(1+11\right)}^{1+1}$$
146#1 $$146=1+1+{\left(1+11\right)}^{1+1}$$
147#1 $$147=1+1+1+{\left(1+11\right)}^{1+1}$$
148#1 $$148=\left(1+\frac{\textstyle1}{\textstyle1+1+1}\right)\times111$$
149#1 $$149=1+\left(1+\frac{\textstyle1}{\textstyle1+1+1}\right)\times111$$
150#1 $$150=\left(1+1+1\right)!+{\left(1+11\right)}^{1+1}$$
151#1 $$151=1+\left(1+1+1\right)!+{\left(1+11\right)}^{1+1}$$
152#1 $$152=11\times\left(1+1+1+11\right)-1-1$$
153#1 $$153=11\times\left(1+1+1+11\right)-1$$
154#1 $$154=11\times\left(1+1+1+11\right)$$
155#1 $$155=11+{\left(1+11\right)}^{1+1}$$
156#1 $$156=\frac{\textstyle\left(1+1+11\right)!}{\textstyle11!}$$
157#1 $$157=1+\frac{\textstyle\left(1+1+11\right)!}{\textstyle11!}$$
158#1 $$158={\left(1+1+11\right)}^{1+1}-11$$
159#1 $$159=1+{\left(1+1+11\right)}^{1+1}-11$$
160#1 $$160=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle\frac{\textstyle11}{\textstyle1+1}-1}$$
161#1 $$161=\left(1+1\right)\times{\left(11-1-1\right)}^{1+1}-1$$
162#1 $$162=\left(1+1\right)\times{\left(11-1-1\right)}^{1+1}$$
163#1 $$163=1+\left(1+1\right)\times{\left(11-1-1\right)}^{1+1}$$
164#1 $$164=\left(1+\frac{\textstyle1}{\textstyle1+1}\right)\times\left(111-1\right)-1$$
165#1 $$165=\left(1+\frac{\textstyle1}{\textstyle1+1}\right)\times\left(111-1\right)$$
166#1 $$166=111+\frac{\textstyle111-1}{\textstyle1+1}$$
167#1 $$167={\left(1+1+11\right)}^{1+1}-1-1$$
168#1 $$168={\left(1+1+11\right)}^{1+1}-1$$
169#1 $$169={\left(1+1+11\right)}^{1+1}$$
170#1 $$170=1+{\left(1+1+11\right)}^{1+1}$$
171#1 $$171=1+1+{\left(1+1+11\right)}^{1+1}$$
172#1 $$172=1+1+1+{\left(1+1+11\right)}^{1+1}$$
173#1 $$173={\sqrt{1+1}}^{1+11}+111-1-1$$
174#1 $$174={\sqrt{1+1}}^{1+11}+111-1$$
175#1 $$175={\sqrt{1+1}}^{1+11}+111$$
176#1 $$176={\left(1+1\right)}^{1+1+1+1}\times11$$
177#1 $$177=\left(1+1+1\right)!\times11+111$$
178#1 $$178=\left(1+1\right)\times\sqrt{1+\left(1+1+1\right)!!\times11}$$
179#1 $$179=\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}-1$$
180#1 $$180=\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}$$
181#1 $$181=1+\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}$$
182#1 $$182=\frac{\textstyle\left(1+1+1+11\right)!}{\textstyle\left(1+11\right)!}$$
183#1 $$183=\left(1+\frac{\textstyle1}{\textstyle1+1}\right)\times\left(11+111\right)$$
184#1 $$184=\frac{\textstyle1111-1}{\textstyle\left(1+1+1\right)!}-1$$
185#1 $$185=\frac{\textstyle1111-1}{\textstyle\left(1+1+1\right)!}$$
186#1 $$186=\frac{\textstyle{\left(1+1\right)}^{11}-1-1}{\textstyle11}$$
187#1 $$187=11\times\left(\left(1+1+1\right)!+11\right)$$
188#1 $$188=1+11\times\left(\left(1+1+1\right)!+11\right)$$
189#1 $$189=\left(1+1\right)\times\left(111-11\right)-11$$
190#1 $$190=\left(11-1\right)\times\left(\left(1+1\right)\times\left(11-1\right)-1\right)$$
191#1 $$191=11+\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}$$
192#1 $$192=\left(1+1+1\right)\times{\sqrt{1+1}}^{1+11}$$
193#1 $$193=1+\left(1+1+1\right)\times{\sqrt{1+1}}^{1+11}$$
194#1 $$194={\left(1+1+1+11\right)}^{1+1}-1-1$$
195#1 $$195={\left(1+1+1+11\right)}^{1+1}-1$$
196#1 $$196={\left(1+1+1+11\right)}^{1+1}$$
197#1 $$197=1+{\left(1+1+1+11\right)}^{1+1}$$
198#1 $$198=\left(1+1\right)\times\left(111-11-1\right)$$
199#1 $$199=\left(1+1\right)\times\left(111-11\right)-1$$
200#1 $$200=\left(1+1\right)\times\left(111-11\right)$$
201#1 $$201=1+\left(1+1\right)\times\left(111-11\right)$$
202#1 $$202=\left(1+1\right)\times\frac{\textstyle1111}{\textstyle11}$$
203#1 $$203=1+\left(1+1\right)\times\frac{\textstyle1111}{\textstyle11}$$
204#1 $$204=\left(1+11\right)\times\left(\left(1+1+1\right)!+11\right)$$
205#1 $$205={\left(1+1+1\right)!}^{1+1+1}-11$$
206#1 $$206=1+{\left(1+1+1\right)!}^{1+1+1}-11$$
207#1 $$207=\left(1+1\right)\times\left(111-1-1\right)-11$$
208#1 $$208=\left(1+1\right)\times\left(111-1\right)-11-1$$
209#1 $$209=\left(1+1\right)\times\left(111-1\right)-11$$
210#1 $$210=\left(1+1\right)\times111-11-1$$
211#1 $$211=\left(1+1\right)\times111-11$$
212#1 $$212=1+\left(1+1\right)\times111-11$$
213#1 $$213=\left(1+1\right)\times\left(1+111\right)-11$$
214#1 $$214={\left(1+1+1\right)!}^{1+1+1}-1-1$$
215#1 $$215={\left(1+1+1\right)!}^{1+1+1}-1$$
216#1 $$216={\left(1+1+1\right)!}^{1+1+1}$$
217#1 $$217=1+{\left(1+1+1\right)!}^{1+1+1}$$
218#1 $$218=\left(1+1\right)\times\left(111-1-1\right)$$
219#1 $$219=\left(1+1\right)\times\left(111-1\right)-1$$
220#1 $$220=\left(1+1\right)\times\left(111-1\right)$$
221#1 $$221=\left(1+1\right)\times111-1$$
222#1 $$222=\left(1+1\right)\times111$$
223#1 $$223=1+\left(1+1\right)\times111$$
224#1 $$224=\left(1+1\right)\times\left(1+111\right)$$
225#1 $$225=1+\left(1+1\right)\times\left(1+111\right)$$
226#1 $$226=\left(1+1\right)\times\left(1+1+111\right)$$
227#1 $$227=1+\left(1+1\right)\times\left(1+1+111\right)$$
228#1 $$228=\left(1+1\right)\times\left(1+1+1+111\right)$$
229#1 $$229=\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!-11$$
230#1 $$230=11\times\left(11+11-1\right)-1$$
231#1 $$231=11\times\left(11+11-1\right)$$
232#1 $$232=11\times11+111$$
233#1 $$233=11+\left(1+1\right)\times111$$
234#1 $$234=1+11+\left(1+1\right)\times111$$
235#1 $$235=11+\left(1+1\right)\times\left(1+111\right)$$
236#1 $$236=\left(1+1\right)\times\left(\left(\left(1+1+1\right)!-1\right)!-1-1\right)$$
237#1 $$237=\left(1+1\right)\times\left(\left(\left(1+1+1\right)!-1\right)!-1\right)-1$$
238#1 $$238=\left(1+1\right)\times\left(\left(\left(1+1+1\right)!-1\right)!-1\right)$$
239#1 $$239=\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!-1$$
240#1 $$240=\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!$$
241#1 $$241=11\times\left(11+11\right)-1$$
242#1 $$242=11\times\left(11+11\right)$$
243#1 $$243={\sqrt{1+1+1}}^{11-1}$$
244#1 $$244=\left(1+1\right)\times\left(11+111\right)$$
245#1 $$245=1+\left(1+1\right)\times\left(11+111\right)$$
246#1 $$246=\left(1+1\right)\times\left(1+11+111\right)$$
247#1 $$247=1+\left(1+1\right)\times\left(1+11+111\right)$$
248#1 $$248=\left(1+1\right)\times\left(1+1+11+111\right)$$
249#1 $$249=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-111$$
250#1 $$250=\left(1+\left(1+1+1+1\right)!\right)\times\left(11-1\right)$$
251#1 $$251=\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!+11$$
252#1 $$252=11\times\left(1+11+11\right)-1$$
253#1 $$253=11\times\left(1+11+11\right)$$
254#1 $$254=1+11\times\left(1+11+11\right)$$
255#1 $$255=\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}-1$$
256#1 $$256=\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
257#1 $$257=1+\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
258#1 $$258=1+1+\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
259#1 $$259=\left(1+1+\frac{\textstyle1}{\textstyle1+1+1}\right)\times111$$
260#1 $$260=\left(1+1\right)\times\left(11\times\left(1+11\right)-1-1\right)$$
261#1 $$261=\left(1+1\right)\times\left(11\times\left(1+11\right)-1\right)-1$$
262#1 $$262=\left(1+1\right)\times\left(11\times\left(1+11\right)-1\right)$$
263#1 $$263=\left(1+1+1+1\right)!\times11-1$$
264#1 $$264=\left(1+1+1+1\right)!\times11$$
265#1 $$265=1+\left(1+1+1+1\right)!\times11$$
266#1 $$266=\left(1+1\right)\times\left(1+11\times\left(1+11\right)\right)$$
267#1 $$267=11+\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
268#1 $$268=\left(1+1\right)\times\left(1+1+11\times\left(1+11\right)\right)$$
269#1 $$269=1+\left(1+1\right)\times\left(1+1+11\times\left(1+11\right)\right)$$
270#1 $$270={\left(1+1+1\right)}^{1+1+1}\times\left(11-1\right)$$
271#1 $$271=1+{\left(1+1+1\right)}^{1+1+1}\times\left(11-1\right)$$
272#1 $$272=\left(1+1+11\right)\times\left(11+11-1\right)-1$$
273#1 $$273=\left(1+1+11\right)\times\left(11+11-1\right)$$
274#1 $$274=\left(1+\left(1+1+1+1\right)!\right)\times11-1$$
275#1 $$275=\left(1+\left(1+1+1+1\right)!\right)\times11$$
276#1 $$276=\left(1+11\right)\times\left(1+11+11\right)$$
277#1 $$277=1+\left(1+11\right)\times\left(1+11+11\right)$$
278#1 $$278=\frac{\textstyle1+1111}{\textstyle\left(1+1\right)\times\left(1+1\right)}$$
279#1 $$279=1+\frac{\textstyle1+1111}{\textstyle\left(1+1\right)\times\left(1+1\right)}$$
280#1 $$280={\left(1+1+11\right)}^{1+1}+111$$
281#1 $$281=1+{\left(1+1+11\right)}^{1+1}+111$$
282#1 $$282=\left(1+1\right)\times\left(11\times\left(1+1+11\right)-1-1\right)$$
283#1 $$283=\left(1+1\right)\times\left(11\times\left(1+1+11\right)-1\right)-1$$
284#1 $$284=\left(1+1\right)\times\left(11\times\left(1+1+11\right)-1\right)$$
285#1 $$285=\left(1+1+11\right)\times\left(11+11\right)-1$$
286#1 $$286=\left(1+1+11\right)\times\left(11+11\right)$$
287#1 $$287=\left(1+1\right)\times{\left(1+11\right)}^{1+1}-1$$
288#1 $$288=\left(1+1\right)\times{\left(1+11\right)}^{1+1}$$
289#1 $$289={\left(\left(1+1+1\right)!+11\right)}^{1+1}$$
290#1 $$290=\left(1+1\right)\times\left(1+{\left(1+11\right)}^{1+1}\right)$$
291#1 $$291=1+\left(1+1\right)\times\left(1+{\left(1+11\right)}^{1+1}\right)$$
292#1 $$292=\left(1+1\right)\times\left(1+1+{\left(1+11\right)}^{1+1}\right)$$
293#1 $$293=1+\left(1+1\right)\times\left(1+1+{\left(1+11\right)}^{1+1}\right)$$
294#1 $$294=\left(1+1+1\right)!\times{\left(1+\left(1+1+1\right)!\right)}^{1+1}$$
295#1 $$295=\left(\frac{\textstyle11}{\textstyle1+1+1}-1\right)\times111-1$$
296#1 $$296=\left(\frac{\textstyle11}{\textstyle1+1+1}-1\right)\times111$$
297#1 $$297={\left(1+1+1\right)}^{1+1+1}\times11$$
298#1 $$298=1+{\left(1+1+1\right)}^{1+1+1}\times11$$
299#1 $$299=\left(1+1+1\right)\times\left(111-11\right)-1$$
300#1 $$300=\left(1+1+1\right)\times\left(111-11\right)$$
301#1 $$301=1+\left(1+1+1\right)\times\left(111-11\right)$$
302#1 $$302=\left(1+1+1\right)\times\frac{\textstyle1111}{\textstyle11}-1$$
303#1 $$303=\left(1+1+1\right)\times\frac{\textstyle1111}{\textstyle11}$$
304#1 $$304={\left(1+1\right)}^{11-1}-\left(1+1+1\right)!!$$
305#1 $$305=\frac{\textstyle1+\left(1+1+1\right)!!-111}{\textstyle1+1}$$
306#1 $$306=\left(1+1+1\right)\times\left(1+\frac{\textstyle1111}{\textstyle11}\right)$$
307#1 $$307={\left(1+1+1+11\right)}^{1+1}+111$$
308#1 $$308=\left(1+1+1+11\right)\times\left(11+11\right)$$
309#1 $$309=1+\left(1+1+1+11\right)\times\left(11+11\right)$$
310#1 $$310=\left(1+1\right)\times\left(11+{\left(1+11\right)}^{1+1}\right)$$
311#1 $$311=\left(1+1+1+1\right)!\times\left(1+1+11\right)-1$$
312#1 $$312=\left(1+1+1+1\right)!\times\left(1+1+11\right)$$
313#1 $$313=1+\left(1+1+1+1\right)!\times\left(1+1+11\right)$$
314#1 $$314=\left(1+1\right)\times\left(1+\frac{\textstyle\left(1+1+11\right)!}{\textstyle11!}\right)$$
315#1 $$315=\left(1+1+1\right)\times\left(111-\left(1+1+1\right)!\right)$$
316#1 $$316=\left(1+1+1\right)\times\left(111-1-1\right)-11$$
317#1 $$317=\left(1+1+1\right)\times\left(111-1\right)-11-1-1$$
318#1 $$318=\left(1+1+1\right)\times\left(111-1\right)-11-1$$
319#1 $$319=\left(1+1+1\right)\times\left(111-1\right)-11$$
320#1 $$320=\left(11-1\right)\times{\sqrt{1+1}}^{11-1}$$
321#1 $$321=\left(1+1+1\right)\times111-11-1$$
322#1 $$322=\left(1+1+1\right)\times111-11$$
323#1 $$323=1+\left(1+1+1\right)\times111-11$$
324#1 $$324={\left(\left(1+1\right)\times \left(11-1-1\right)\right)}^{1+1}$$
325#1 $$325=\left(1+1+1\right)\times\left(1+111\right)-11$$
326#1 $$326=\left(1+1+1\right)\times\left(111-1-1\right)-1$$
327#1 $$327=\left(1+1+1\right)\times\left(111-1-1\right)$$
328#1 $$328=\left(1+1+1\right)\times\left(111-1\right)-1-1$$
329#1 $$329=\left(1+1+1\right)\times\left(111-1\right)-1$$
330#1 $$330=\left(1+1+1\right)\times\left(111-1\right)$$
331#1 $$331=\left(1+1+1\right)\times111-1-1$$
332#1 $$332=\left(1+1+1\right)\times111-1$$
333#1 $$333=\left(1+1+1\right)\times111$$
334#1 $$334=1+\left(1+1+1\right)\times111$$
335#1 $$335=1+1+\left(1+1+1\right)\times111$$
336#1 $$336=\left(1+1+1\right)\times\left(1+111\right)$$
337#1 $$337=1+\left(1+1+1\right)\times\left(1+111\right)$$
338#1 $$338=\left(1+1\right)\times{\left(1+1+11\right)}^{1+1}$$
339#1 $$339=\left(1+1+1\right)\times\left(1+1+111\right)$$
340#1 $$340=1+\left(1+1+1\right)\times\left(1+1+111\right)$$
341#1 $$341=11\times\left({\sqrt{1+1}}^{11-1}-1\right)$$
342#1 $$342={\left(1+\left(1+1+1\right)!\right)}^{1+1+1}-1$$
343#1 $$343={\left(1+\left(1+1+1\right)!\right)}^{1+1+1}$$
344#1 $$344=11+\left(1+1+1\right)\times111$$
345#1 $$345=1+11+\left(1+1+1\right)\times111$$
346#1 $$346=1+1+11+\left(1+1+1\right)\times111$$
347#1 $$347=11+\left(1+1+1\right)\times\left(1+111\right)$$
348#1 $$348=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-11-1$$
349#1 $$349=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-11$$
350#1 $$350=1+\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-11$$
351#1 $$351=11\times{\sqrt{1+1}}^{11-1}-1$$
352#1 $$352=11\times{\sqrt{1+1}}^{11-1}$$
353#1 $$353=1+11\times{\sqrt{1+1}}^{11-1}$$
354#1 $$354=\frac{\textstyle\left(1+1+1\right)!!-11-1}{\textstyle1+1}$$
355#1 $$355=\frac{\textstyle1+\left(1+1+1\right)!!-11}{\textstyle1+1}$$
356#1 $$356=1+\frac{\textstyle1+\left(1+1+1\right)!!-11}{\textstyle1+1}$$
357#1 $$357=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-1-1-1$$
358#1 $$358=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-1-1$$
359#1 $$359=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-1$$
360#1 $$360=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}$$
361#1 $$361=1+\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}$$
362#1 $$362=1+1+\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}$$
363#1 $$363=\left(1+1+1\right)\times11\times11$$
364#1 $$364=1+\left(1+1+1\right)\times11\times11$$
365#1 $$365=\frac{\textstyle\left(1+1+1\right)!!+11-1}{\textstyle1+1}$$
366#1 $$366=\left(1+1+1\right)\times\left(11+111\right)$$
367#1 $$367=1+\left(1+1+1\right)\times\left(11+111\right)$$
368#1 $$368=\frac{\textstyle1111-1}{\textstyle1+1+1}-1-1$$
369#1 $$369=\frac{\textstyle1111-1}{\textstyle1+1+1}-1$$
370#1 $$370=\frac{\textstyle1111-1}{\textstyle1+1+1}$$
371#1 $$371=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}+11$$
372#1 $$372=1+\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}+11$$
373#1 $$373={\left(11+11\right)}^{1+1}-111$$
374#1 $$374=11\times\left(1+\left(1+1+1\right)\times11\right)$$
375#1 $$375=1+11\times\left(1+\left(1+1+1\right)\times11\right)$$
376#1 $$376=1+1+11\times\left(1+\left(1+1+1\right)\times11\right)$$
377#1 $$377=11+\left(1+1+1\right)\times\left(11+111\right)$$
378#1 $$378=\left(1+1+1\right)!\times\left({\sqrt{1+1}}^{1+11}-1\right)$$
379#1 $$379=1111-11-\left(1+1+1\right)!!-1$$
380#1 $$380=1111-11-\left(1+1+1\right)!!$$
381#1 $$381=11+\frac{\textstyle1111-1}{\textstyle1+1+1}$$
382#1 $$382=\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}+11+11$$
383#1 $$383=\left(1+11\right)\times{\sqrt{1+1}}^{11-1}-1$$
384#1 $$384=\left(1+11\right)\times{\sqrt{1+1}}^{11-1}$$
385#1 $$385=11\times\left(\left(1+1+1+1\right)!+11\right)$$
386#1 $$386=1+11\times\left(\left(1+1+1+1\right)!+11\right)$$
387#1 $$387=\left(1+1+1\right)!!-\left(1+1+1\right)\times111$$
388#1 $$388={\left(\left(1+1\right)\times \left(11-1\right)\right)}^{1+1}-11-1$$
389#1 $$389={\left(\left(1+1\right)\times \left(11-1\right)\right)}^{1+1}-11$$
390#1 $$390=1111-\left(1+1+1\right)!!-1$$
391#1 $$391=1111-\left(1+1+1\right)!!$$
392#1 $$392=1+1111-\left(1+1+1\right)!!$$
