1#1 1 $$1$$
38#1 1+111/(1+1+1) $$1+\frac{\textstyle111}{\textstyle1+1+1}$$
39#1 (1+1+1)*(1+1+11) $$\left(1+1+1\right)\times\left(1+1+11\right)$$
40#1 (1+1)*(1+1)*(11-1) $$\left(1+1\right)\times\left(1+1\right)\times\left(11-1\right)$$
41#1 (1+1)*(11+11-1)-1 $$\left(1+1\right)\times\left(11+11-1\right)-1$$
42#1 (1+1)*(11+11-1) $$\left(1+1\right)\times\left(11+11-1\right)$$
43#1 (1+1)*(11+11)-1 $$\left(1+1\right)\times\left(11+11\right)-1$$
44#1 (1+1)*(11+11) $$\left(1+1\right)\times\left(11+11\right)$$
45#1 1+(1+1)*(11+11) $$1+\left(1+1\right)\times\left(11+11\right)$$
46#1 (1+1)*(1+11+11) $$\left(1+1\right)\times\left(1+11+11\right)$$
47#1 ((1+1+1)!)^(1+1)+11 $${\left(1+1+1\right)!}^{1+1}+11$$
48#1 (1+1)*(1+1+1+1)! $$\left(1+1\right)\times\left(1+1+1+1\right)!$$
49#1 (1+(1+1+1)!)^(1+1) $${\left(1+\left(1+1+1\right)!\right)}^{1+1}$$
50#1 (111-11)/(1+1) $$\frac{\textstyle111-11}{\textstyle1+1}$$
51#1 1+(111-11)/(1+1) $$1+\frac{\textstyle111-11}{\textstyle1+1}$$
52#1 √(1+1)^(1+11)-11-1 $${\sqrt{1+1}}^{1+11}-11-1$$
53#1 √(1+1)^(1+11)-11 $${\sqrt{1+1}}^{1+11}-11$$
54#1 (111-1)/(1+1)-1 $$\frac{\textstyle111-1}{\textstyle1+1}-1$$
55#1 (111-1)/(1+1) $$\frac{\textstyle111-1}{\textstyle1+1}$$
56#1 (1+111)/(1+1) $$\frac{\textstyle1+111}{\textstyle1+1}$$
57#1 1+(1+111)/(1+1) $$1+\frac{\textstyle1+111}{\textstyle1+1}$$
58#1 1+1+(1+111)/(1+1) $$1+1+\frac{\textstyle1+111}{\textstyle1+1}$$
59#1 (1+1+1)!*(11-1)-1 $$\left(1+1+1\right)!\times\left(11-1\right)-1$$
60#1 (1+1+1)!*(11-1) $$\left(1+1+1\right)!\times\left(11-1\right)$$
61#1 (11+111)/(1+1) $$\frac{\textstyle11+111}{\textstyle1+1}$$
62#1 √(1+1)^(1+11)-1-1 $${\sqrt{1+1}}^{1+11}-1-1$$
63#1 √(1+1)^(1+11)-1 $${\sqrt{1+1}}^{1+11}-1$$
64#1 √(1+1)^(1+11) $${\sqrt{1+1}}^{1+11}$$
65#1 1+√(1+1)^(1+11) $$1+{\sqrt{1+1}}^{1+11}$$
66#1 (1+1+1)!*11 $$\left(1+1+1\right)!\times11$$
67#1 1+(1+1+1)!*11 $$1+\left(1+1+1\right)!\times11$$
68#1 1+1+(1+1+1)!*11 $$1+1+\left(1+1+1\right)!\times11$$
69#1 √(1+(1+(1+1+1)!)!)-1-1 $$\sqrt{1+\left(1+\left(1+1+1\right)!\right)!}-1-1$$
70#1 √(1+(1+(1+1+1)!)!)-1 $$\sqrt{1+\left(1+\left(1+1+1\right)!\right)!}-1$$
71#1 √(1+(1+(1+1+1)!)!) $$\sqrt{1+\left(1+\left(1+1+1\right)!\right)!}$$
72#1 (1+1+1)!*(1+11) $$\left(1+1+1\right)!\times\left(1+11\right)$$
73#1 1+(1+1+1)!*(1+11) $$1+\left(1+1+1\right)!\times\left(1+11\right)$$
74#1 111/(1+1/(1+1)) $$\frac{\textstyle111}{\textstyle1+\frac{\textstyle1}{\textstyle1+1}}$$
75#1 11+√(1+1)^(1+11) $$11+{\sqrt{1+1}}^{1+11}$$
76#1 (1+(1+1+1)!)*11-1 $$\left(1+\left(1+1+1\right)!\right)\times11-1$$
77#1 (1+(1+1+1)!)*11 $$\left(1+\left(1+1+1\right)!\right)\times11$$
78#1 1+(1+(1+1+1)!)*11 $$1+\left(1+\left(1+1+1\right)!\right)\times11$$
79#1 111-√(1+1)^(11-1) $$111-{\sqrt{1+1}}^{11-1}$$
80#1 (11-1-1)^(1+1)-1 $${\left(11-1-1\right)}^{1+1}-1$$
81#1 (11-1-1)^(1+1) $${\left(11-1-1\right)}^{1+1}$$
82#1 1+(11-1-1)^(1+1) $$1+{\left(11-1-1\right)}^{1+1}$$
83#1 1+1+(11-1-1)^(1+1) $$1+1+{\left(11-1-1\right)}^{1+1}$$
84#1 (1+(1+1+1)!)*(1+11) $$\left(1+\left(1+1+1\right)!\right)\times\left(1+11\right)$$
85#1 1+(1+(1+1+1)!)*(1+11) $$1+\left(1+\left(1+1+1\right)!\right)\times\left(1+11\right)$$
86#1 111-(1+1+1+1)!-1 $$111-\left(1+1+1+1\right)!-1$$
87#1 111-(1+1+1+1)! $$111-\left(1+1+1+1\right)!$$
88#1 11*(11-1-1-1) $$11\times\left(11-1-1-1\right)$$
89#1 √(1+(1+1+1)!!*11) $$\sqrt{1+\left(1+1+1\right)!!\times11}$$
90#1 (11-1)*(11-1-1) $$\left(11-1\right)\times\left(11-1-1\right)$$
91#1 111-(1+1)*(11-1) $$111-\left(1+1\right)\times\left(11-1\right)$$
92#1 11+(11-1-1)^(1+1) $$11+{\left(11-1-1\right)}^{1+1}$$
93#1 ((1+1)^(11-1)-1)/11 $$\frac{\textstyle{\left(1+1\right)}^{11-1}-1}{\textstyle11}$$
94#1 111-11-(1+1+1)! $$111-11-\left(1+1+1\right)!$$
95#1 1111/11-(1+1+1)! $$\frac{\textstyle1111}{\textstyle11}-\left(1+1+1\right)!$$
96#1 (1+11)*(11-1-1-1) $$\left(1+11\right)\times\left(11-1-1-1\right)$$
97#1 111-11-1-1-1 $$111-11-1-1-1$$
98#1 111-11-1-1 $$111-11-1-1$$
99#1 111-11-1 $$111-11-1$$
100#1 111-11 $$111-11$$
101#1 1111/11 $$\frac{\textstyle1111}{\textstyle11}$$
102#1 1+1111/11 $$1+\frac{\textstyle1111}{\textstyle11}$$
103#1 1+1+1111/11 $$1+1+\frac{\textstyle1111}{\textstyle11}$$
104#1 111-(1+1+1)!-1 $$111-\left(1+1+1\right)!-1$$
105#1 111-(1+1+1)! $$111-\left(1+1+1\right)!$$
106#1 1+111-(1+1+1)! $$1+111-\left(1+1+1\right)!$$
107#1 111-1-1-1-1 $$111-1-1-1-1$$
108#1 111-1-1-1 $$111-1-1-1$$
109#1 111-1-1 $$111-1-1$$
110#1 111-1 $$111-1$$
111#1 111 $$111$$
112#1 1+111 $$1+111$$
113#1 1+1+111 $$1+1+111$$
114#1 1+1+1+111 $$1+1+1+111$$
115#1 1+1+1+1+111 $$1+1+1+1+111$$
116#1 (1+1+1)!+111-1 $$\left(1+1+1\right)!+111-1$$
117#1 (1+1+1)!+111 $$\left(1+1+1\right)!+111$$
118#1 ((1+1+1)!-1)!-1-1 $$\left(\left(1+1+1\right)!-1\right)!-1-1$$
119#1 ((1+1+1)!-1)!-1 $$\left(\left(1+1+1\right)!-1\right)!-1$$
120#1 ((1+1+1)!-1)! $$\left(\left(1+1+1\right)!-1\right)!$$
121#1 11*11 $$11\times11$$
122#1 11+111 $$11+111$$
123#1 1+11+111 $$1+11+111$$
124#1 1+1+11+111 $$1+1+11+111$$
125#1 ((1+1+1)!-1)^(1+1+1) $${\left(\left(1+1+1\right)!-1\right)}^{1+1+1}$$
126#1 (1+1+1)!+((1+1+1)!-1)! $$\left(1+1+1\right)!+\left(\left(1+1+1\right)!-1\right)!$$
127#1 (1+1+1)!+11*11 $$\left(1+1+1\right)!+11\times11$$
128#1 (1+1)^(1+(1+1+1)!) $${\left(1+1\right)}^{1+\left(1+1+1\right)!}$$
129#1 1+(1+1)^(1+(1+1+1)!) $$1+{\left(1+1\right)}^{1+\left(1+1+1\right)!}$$
130#1 11*(1+11)-1-1 $$11\times\left(1+11\right)-1-1$$
131#1 11*(1+11)-1 $$11\times\left(1+11\right)-1$$
132#1 11*(1+11) $$11\times\left(1+11\right)$$
133#1 1+11*(1+11) $$1+11\times\left(1+11\right)$$
134#1 1+1+11*(1+11) $$1+1+11\times\left(1+11\right)$$
135#1 (1+1+1+1)!+111 $$\left(1+1+1+1\right)!+111$$
136#1 1+(1+1+1+1)!+111 $$1+\left(1+1+1+1\right)!+111$$
137#1 (1+1)*(1+1+11)+111 $$\left(1+1\right)\times\left(1+1+11\right)+111$$
138#1 (1+11)*(1/(1+1)+11) $$\left(1+11\right)\times\left(\frac{\textstyle1}{\textstyle1+1}+11\right)$$
139#1 (1+1)^(1+(1+1+1)!)+11 $${\left(1+1\right)}^{1+\left(1+1+1\right)!}+11$$
140#1 (11-1)*(1+1+1+11) $$\left(11-1\right)\times\left(1+1+1+11\right)$$
141#1 11*(1+1+11)-1-1 $$11\times\left(1+1+11\right)-1-1$$
142#1 11*(1+1+11)-1 $$11\times\left(1+1+11\right)-1$$
143#1 11*(1+1+11) $$11\times\left(1+1+11\right)$$
144#1 (1+11)^(1+1) $${\left(1+11\right)}^{1+1}$$
145#1 1+(1+11)^(1+1) $$1+{\left(1+11\right)}^{1+1}$$
146#1 1+1+(1+11)^(1+1) $$1+1+{\left(1+11\right)}^{1+1}$$
147#1 1+1+1+(1+11)^(1+1) $$1+1+1+{\left(1+11\right)}^{1+1}$$
148#1 (1+1/(1+1+1))*111 $$\left(1+\frac{\textstyle1}{\textstyle1+1+1}\right)\times111$$
149#1 1+(1+1/(1+1+1))*111 $$1+\left(1+\frac{\textstyle1}{\textstyle1+1+1}\right)\times111$$
150#1 (1+1+1)!+(1+11)^(1+1) $$\left(1+1+1\right)!+{\left(1+11\right)}^{1+1}$$
151#1 1+(1+1+1)!+(1+11)^(1+1) $$1+\left(1+1+1\right)!+{\left(1+11\right)}^{1+1}$$
152#1 11*(1+1+1+11)-1-1 $$11\times\left(1+1+1+11\right)-1-1$$
153#1 11*(1+1+1+11)-1 $$11\times\left(1+1+1+11\right)-1$$
154#1 11*(1+1+1+11) $$11\times\left(1+1+1+11\right)$$
155#1 11+(1+11)^(1+1) $$11+{\left(1+11\right)}^{1+1}$$
156#1 (1+1+11)!/(11!) $$\frac{\textstyle\left(1+1+11\right)!}{\textstyle11!}$$
157#1 1+(1+1+11)!/(11!) $$1+\frac{\textstyle\left(1+1+11\right)!}{\textstyle11!}$$
158#1 (1+1+11)^(1+1)-11 $${\left(1+1+11\right)}^{1+1}-11$$
159#1 1+(1+1+11)^(1+1)-11 $$1+{\left(1+1+11\right)}^{1+1}-11$$
160#1 (1+1+1)!!/(11/(1+1)-1) $$\frac{\textstyle\left(1+1+1\right)!!}{\textstyle\frac{\textstyle11}{\textstyle1+1}-1}$$
161#1 (1+1)*(11-1-1)^(1+1)-1 $$\left(1+1\right)\times{\left(11-1-1\right)}^{1+1}-1$$
162#1 (1+1)*(11-1-1)^(1+1) $$\left(1+1\right)\times{\left(11-1-1\right)}^{1+1}$$
163#1 1+(1+1)*(11-1-1)^(1+1) $$1+\left(1+1\right)\times{\left(11-1-1\right)}^{1+1}$$
164#1 (1+1/(1+1))*(111-1)-1 $$\left(1+\frac{\textstyle1}{\textstyle1+1}\right)\times\left(111-1\right)-1$$
165#1 (1+1/(1+1))*(111-1) $$\left(1+\frac{\textstyle1}{\textstyle1+1}\right)\times\left(111-1\right)$$
166#1 111+(111-1)/(1+1) $$111+\frac{\textstyle111-1}{\textstyle1+1}$$
167#1 (1+1+11)^(1+1)-1-1 $${\left(1+1+11\right)}^{1+1}-1-1$$
168#1 (1+1+11)^(1+1)-1 $${\left(1+1+11\right)}^{1+1}-1$$
169#1 (1+1+11)^(1+1) $${\left(1+1+11\right)}^{1+1}$$
170#1 1+(1+1+11)^(1+1) $$1+{\left(1+1+11\right)}^{1+1}$$
171#1 1+1+(1+1+11)^(1+1) $$1+1+{\left(1+1+11\right)}^{1+1}$$
172#1 1+1+1+(1+1+11)^(1+1) $$1+1+1+{\left(1+1+11\right)}^{1+1}$$
173#1 √(1+1)^(1+11)+111-1-1 $${\sqrt{1+1}}^{1+11}+111-1-1$$
174#1 √(1+1)^(1+11)+111-1 $${\sqrt{1+1}}^{1+11}+111-1$$
175#1 √(1+1)^(1+11)+111 $${\sqrt{1+1}}^{1+11}+111$$
176#1 (1+1)^(1+1+1+1)*11 $${\left(1+1\right)}^{1+1+1+1}\times11$$
177#1 (1+1+1)!*11+111 $$\left(1+1+1\right)!\times11+111$$
178#1 (1+1)*√(1+(1+1+1)!!*11) $$\left(1+1\right)\times\sqrt{1+\left(1+1+1\right)!!\times11}$$
179#1 √((11-1)!/(1+111))-1 $$\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}-1$$
180#1 √((11-1)!/(1+111)) $$\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}$$
181#1 1+√((11-1)!/(1+111)) $$1+\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}$$
182#1 (1+1+1+11)!/((1+11)!) $$\frac{\textstyle\left(1+1+1+11\right)!}{\textstyle\left(1+11\right)!}$$
183#1 (1+1/(1+1))*(11+111) $$\left(1+\frac{\textstyle1}{\textstyle1+1}\right)\times\left(11+111\right)$$
184#1 (1111-1)/((1+1+1)!)-1 $$\frac{\textstyle1111-1}{\textstyle\left(1+1+1\right)!}-1$$
185#1 (1111-1)/((1+1+1)!) $$\frac{\textstyle1111-1}{\textstyle\left(1+1+1\right)!}$$
186#1 ((1+1)^11-1-1)/11 $$\frac{\textstyle{\left(1+1\right)}^{11}-1-1}{\textstyle11}$$
187#1 11*((1+1+1)!+11) $$11\times\left(\left(1+1+1\right)!+11\right)$$
188#1 1+11*((1+1+1)!+11) $$1+11\times\left(\left(1+1+1\right)!+11\right)$$
189#1 (1+1)*(111-11)-11 $$\left(1+1\right)\times\left(111-11\right)-11$$
190#1 (11-1)*((1+1)*(11-1)-1) $$\left(11-1\right)\times\left(\left(1+1\right)\times\left(11-1\right)-1\right)$$
191#1 11+√((11-1)!/(1+111)) $$11+\sqrt{\frac{\textstyle\left(11-1\right)!}{\textstyle1+111}}$$
192#1 (1+1+1)*√(1+1)^(1+11) $$\left(1+1+1\right)\times{\sqrt{1+1}}^{1+11}$$
193#1 1+(1+1+1)*√(1+1)^(1+11) $$1+\left(1+1+1\right)\times{\sqrt{1+1}}^{1+11}$$
194#1 (1+1+1+11)^(1+1)-1-1 $${\left(1+1+1+11\right)}^{1+1}-1-1$$
195#1 (1+1+1+11)^(1+1)-1 $${\left(1+1+1+11\right)}^{1+1}-1$$
196#1 (1+1+1+11)^(1+1) $${\left(1+1+1+11\right)}^{1+1}$$
197#1 1+(1+1+1+11)^(1+1) $$1+{\left(1+1+1+11\right)}^{1+1}$$
198#1 (1+1)*(111-11-1) $$\left(1+1\right)\times\left(111-11-1\right)$$
199#1 (1+1)*(111-11)-1 $$\left(1+1\right)\times\left(111-11\right)-1$$
200#1 (1+1)*(111-11) $$\left(1+1\right)\times\left(111-11\right)$$
201#1 1+(1+1)*(111-11) $$1+\left(1+1\right)\times\left(111-11\right)$$
202#1 (1+1)/(11/1111) $$\left(1+1\right)\times\frac{\textstyle1111}{\textstyle11}$$
203#1 1+(1+1)/(11/1111) $$1+\left(1+1\right)\times\frac{\textstyle1111}{\textstyle11}$$
204#1 (1+11)*((1+1+1)!+11) $$\left(1+11\right)\times\left(\left(1+1+1\right)!+11\right)$$
205#1 ((1+1+1)!)^(1+1+1)-11 $${\left(1+1+1\right)!}^{1+1+1}-11$$
206#1 1+((1+1+1)!)^(1+1+1)-11 $$1+{\left(1+1+1\right)!}^{1+1+1}-11$$
207#1 (1+1)*(111-1-1)-11 $$\left(1+1\right)\times\left(111-1-1\right)-11$$
208#1 (1+1)*(111-1)-11-1 $$\left(1+1\right)\times\left(111-1\right)-11-1$$
209#1 (1+1)*(111-1)-11 $$\left(1+1\right)\times\left(111-1\right)-11$$
210#1 (1+1)*111-11-1 $$\left(1+1\right)\times111-11-1$$
211#1 (1+1)*111-11 $$\left(1+1\right)\times111-11$$
212#1 1+(1+1)*111-11 $$1+\left(1+1\right)\times111-11$$
213#1 (1+1)*(1+111)-11 $$\left(1+1\right)\times\left(1+111\right)-11$$
214#1 ((1+1+1)!)^(1+1+1)-1-1 $${\left(1+1+1\right)!}^{1+1+1}-1-1$$
215#1 ((1+1+1)!)^(1+1+1)-1 $${\left(1+1+1\right)!}^{1+1+1}-1$$
216#1 ((1+1+1)!)^(1+1+1) $${\left(1+1+1\right)!}^{1+1+1}$$
217#1 1+((1+1+1)!)^(1+1+1) $$1+{\left(1+1+1\right)!}^{1+1+1}$$
218#1 (1+1)*(111-1-1) $$\left(1+1\right)\times\left(111-1-1\right)$$
219#1 (1+1)*(111-1)-1 $$\left(1+1\right)\times\left(111-1\right)-1$$
220#1 (1+1)*(111-1) $$\left(1+1\right)\times\left(111-1\right)$$
221#1 (1+1)*111-1 $$\left(1+1\right)\times111-1$$
222#1 (1+1)*111 $$\left(1+1\right)\times111$$
223#1 1+(1+1)*111 $$1+\left(1+1\right)\times111$$
224#1 (1+1)*(1+111) $$\left(1+1\right)\times\left(1+111\right)$$
225#1 1+(1+1)*(1+111) $$1+\left(1+1\right)\times\left(1+111\right)$$
226#1 (1+1)*(1+1+111) $$\left(1+1\right)\times\left(1+1+111\right)$$
227#1 1+(1+1)*(1+1+111) $$1+\left(1+1\right)\times\left(1+1+111\right)$$
228#1 (1+1)*(1+1+1+111) $$\left(1+1\right)\times\left(1+1+1+111\right)$$
229#1 (1+1)*((1+1+1)!-1)!-11 $$\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!-11$$
230#1 11*(11+11-1)-1 $$11\times\left(11+11-1\right)-1$$
231#1 11*(11+11-1) $$11\times\left(11+11-1\right)$$
232#1 11*11+111 $$11\times11+111$$
233#1 11+(1+1)*111 $$11+\left(1+1\right)\times111$$
234#1 1+11+(1+1)*111 $$1+11+\left(1+1\right)\times111$$
235#1 11+(1+1)*(1+111) $$11+\left(1+1\right)\times\left(1+111\right)$$
236#1 (1+1)*(((1+1+1)!-1)!-1-1) $$\left(1+1\right)\times\left(\left(\left(1+1+1\right)!-1\right)!-1-1\right)$$
237#1 (1+1)*(((1+1+1)!-1)!-1)-1 $$\left(1+1\right)\times\left(\left(\left(1+1+1\right)!-1\right)!-1\right)-1$$
238#1 (1+1)*(((1+1+1)!-1)!-1) $$\left(1+1\right)\times\left(\left(\left(1+1+1\right)!-1\right)!-1\right)$$
239#1 (1+1)*((1+1+1)!-1)!-1 $$\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!-1$$
240#1 (1+1)*((1+1+1)!-1)! $$\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!$$
241#1 11*(11+11)-1 $$11\times\left(11+11\right)-1$$
242#1 11*(11+11) $$11\times\left(11+11\right)$$
243#1 √(1+1+1)^(11-1) $${\sqrt{1+1+1}}^{11-1}$$
244#1 (1+1)*(11+111) $$\left(1+1\right)\times\left(11+111\right)$$
245#1 1+(1+1)*(11+111) $$1+\left(1+1\right)\times\left(11+111\right)$$
246#1 (1+1)*(1+11+111) $$\left(1+1\right)\times\left(1+11+111\right)$$
247#1 1+(1+1)*(1+11+111) $$1+\left(1+1\right)\times\left(1+11+111\right)$$
248#1 (1+1)*(1+1+11+111) $$\left(1+1\right)\times\left(1+1+11+111\right)$$
249#1 (1+1+1)!!/(1+1)-111 $$\frac{\textstyle\left(1+1+1\right)!!}{\textstyle1+1}-111$$
250#1 (1+(1+1+1+1)!)*(11-1) $$\left(1+\left(1+1+1+1\right)!\right)\times\left(11-1\right)$$
251#1 (1+1)*((1+1+1)!-1)!+11 $$\left(1+1\right)\times\left(\left(1+1+1\right)!-1\right)!+11$$
252#1 11*(1+11+11)-1 $$11\times\left(1+11+11\right)-1$$
253#1 11*(1+11+11) $$11\times\left(1+11+11\right)$$
254#1 1+11*(1+11+11) $$1+11\times\left(1+11+11\right)$$
255#1 √√(√√√√√√(1+1)^((1+1)^11))-1 $$\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}-1$$
256#1 √√(√√√√√√(1+1)^((1+1)^11)) $$\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
257#1 1+√√(√√√√√√(1+1)^((1+1)^11)) $$1+\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
258#1 1+1+√√(√√√√√√(1+1)^((1+1)^11)) $$1+1+\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
259#1 (1+1+1/(1+1+1))*111 $$\left(1+1+\frac{\textstyle1}{\textstyle1+1+1}\right)\times111$$
260#1 (1+1)*(11*(1+11)-1-1) $$\left(1+1\right)\times\left(11\times\left(1+11\right)-1-1\right)$$
261#1 (1+1)*(11*(1+11)-1)-1 $$\left(1+1\right)\times\left(11\times\left(1+11\right)-1\right)-1$$
262#1 (1+1)*(11*(1+11)-1) $$\left(1+1\right)\times\left(11\times\left(1+11\right)-1\right)$$
263#1 (1+1+1+1)!*11-1 $$\left(1+1+1+1\right)!\times11-1$$
264#1 (1+1+1+1)!*11 $$\left(1+1+1+1\right)!\times11$$
265#1 1+(1+1+1+1)!*11 $$1+\left(1+1+1+1\right)!\times11$$
266#1 (1+1)*(1+11*(1+11)) $$\left(1+1\right)\times\left(1+11\times\left(1+11\right)\right)$$
267#1 11+√√(√√√√√√(1+1)^((1+1)^11)) $$11+\sqrt{\!\!\sqrt{{\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{\!\!\sqrt{1+1}}}}}}}^{{\left(1+1\right)}^{11}}}}$$
268#1 (1+1)*(1+1+11*(1+11)) $$\left(1+1\right)\times\left(1+1+11\times\left(1+11\right)\right)$$
269#1 1+(1+1)*(1+1+11*(1+11)) $$1+\left(1+1\right)\times\left(1+1+11\times\left(1+11\right)\right)$$
270#1 (1+1+1)^(1+1+1)*(11-1) $${\left(1+1+1\right)}^{1+1+1}\times\left(11-1\right)$$
271#1 1+(1+1+1)^(1+1+1)*(11-1) $$1+{\left(1+1+1\right)}^{1+1+1}\times\left(11-1\right)$$
272#1 (1+1+11)*(11+11-1)-1 $$\left(1+1+11\right)\times\left(11+11-1\right)-1$$
273#1 (1+1+11)*(11+11-1) $$\left(1+1+11\right)\times\left(11+11-1\right)$$
274#1 (1+(1+1+1+1)!)*11-1 $$\left(1+\left(1+1+1+1\right)!\right)\times11-1$$
275#1 (1+(1+1+1+1)!)*11 $$\left(1+\left(1+1+1+1\right)!\right)\times11$$
276#1 (1+11)*(1+11+11) $$\left(1+11\right)\times\left(1+11+11\right)$$
277#1 1+(1+11)*(1+11+11) $$1+\left(1+11\right)\times\left(1+11+11\right)$$
278#1 (1+1111)/(1+1)/(1+1) $$\frac{\textstyle1+1111}{\textstyle\left(1+1\right)\times\left(1+1\right)}$$
279#1 1+(1+1111)/(1+1)/(1+1) $$1+\frac{\textstyle1+1111}{\textstyle\left(1+1\right)\times\left(1+1\right)}$$
280#1 (1+1+11)^(1+1)+111 $${\left(1+1+11\right)}^{1+1}+111$$
281#1 1+(1+1+11)^(1+1)+111 $$1+{\left(1+1+11\right)}^{1+1}+111$$
282#1 (1+1)*(11*(1+1+11)-1-1) $$\left(1+1\right)\times\left(11\times\left(1+1+11\right)-1-1\right)$$
283#1 (1+1)*(11*(1+1+11)-1)-1 $$\left(1+1\right)\times\left(11\times\left(1+1+11\right)-1\right)-1$$
284#1 (1+1)*(11*(1+1+11)-1) $$\left(1+1\right)\times\left(11\times\left(1+1+11\right)-1\right)$$
285#1 (1+1+11)*(11+11)-1 $$\left(1+1+11\right)\times\left(11+11\right)-1$$
286#1 (1+1+11)*(11+11) $$\left(1+1+11\right)\times\left(11+11\right)$$
287#1 (1+1)*(1+11)^(1+1)-1 $$\left(1+1\right)\times{\left(1+11\right)}^{1+1}-1$$
288#1 (1+1)*(1+11)^(1+1) $$\left(1+1\right)\times{\left(1+11\right)}^{1+1}$$
289#1 ((1+1+1)!+11)^(1+1) $${\left(\left(1+1+1\right)!+11\right)}^{1+1}$$
290#1 (1+1)*(1+(1+11)^(1+1)) $$\left(1+1\right)\times\left(1+{\left(1+11\right)}^{1+1}\right)$$
291#1 1+(1+1)*(1+(1+11)^(1+1)) $$1+\left(1+1\right)\times\left(1+{\left(1+11\right)}^{1+1}\right)$$
292#1 (1+1)*(1+1+(1+11)^(1+1)) $$\left(1+1\right)\times\left(1+1+{\left(1+11\right)}^{1+1}\right)$$
293#1 1+(1+1)*(1+1+(1+11)^(1+1)) $$1+\left(1+1\right)\times\left(1+1+{\left(1+11\right)}^{1+1}\right)$$
294#1 (1+1+1)!*(1+(1+1+1)!)^(1+1) $$\left(1+1+1\right)!\times{\left(1+\left(1+1+1\right)!\right)}^{1+1}$$
295#1 (11/(1+1+1)-1)*111-1 $$\left(\frac{\textstyle11}{\textstyle1+1+1}-1\right)\times111-1$$
296#1 (11/(1+1+1)-1)*111 $$\left(\frac{\textstyle11}{\textstyle1+1+1}-1\right)\times111$$
